# User:                           Version:                     Date:           Time:         

                                                                                                                                                               
CASE                                 1              2              3              4              5              6              7              8              9 
Sunshot.Fl_I.Tt               -6.10557  -3.94494E-001        4.74453        9.42202       13.72788       17.71072       21.42223       24.88871       28.12750 
Sunshot.Fl_I.Pt               29.99977       34.99985       39.99993       45.00001       50.00008       55.00016       60.00024       65.00032       69.99970 
Sunshot.Fl_I.ht          -3.12158E+005  -2.98596E+005  -2.85812E+005  -2.73546E+005  -2.61532E+005  -2.49553E+005  -2.37286E+005  -2.24321E+005  -2.09879E+005 
Sunshot.Fl_I.s             -1761.15590    -1712.86987    -1668.42785    -1626.68268    -1586.55809    -1547.21545    -1507.50135    -1466.03281    -1420.25691 
Sunshot.Fl_I.W            4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
Sunshot.Fl_I.Cpt            2382.50171     2527.08025     2709.16860     2946.77474     3274.03194     3751.80265     4510.74696     5905.76055     9136.10436 
Sunshot.Fl_I.gamt              2.54449        2.67592        2.83698        3.04852        3.34235        3.76955        4.43279        5.59818        8.13877 
Sunshot.Fl_I.rhot            962.60795      930.25681      898.36946      866.31881      833.32364      798.61248      760.88173      718.22982      666.99374 
Sunshot.Fl_O.Tt          -2.38078E-002        7.31162       14.31722       21.14613       27.94623       34.84654       42.03568       49.75408       58.43523 
Sunshot.Fl_O.Pt               84.94497       99.10279      113.26061      127.41843      141.57625      155.73407      169.89189      184.04971      198.20558 
Sunshot.Fl_O.ht          -3.01417E+005  -2.85670E+005  -2.70575E+005  -2.55861E+005  -2.41238E+005  -2.26460E+005  -2.11148E+005  -1.94801E+005  -1.76447E+005 
Sunshot.Fl_O.s             -1742.50685    -1690.99903    -1643.26096    -1598.13220    -1554.51632    -1511.54752    -1468.02396    -1422.47904    -1372.17753 
Sunshot.Fl_O.W            4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
Sunshot.Fl_O.Cpt            2235.07074     2293.82847     2348.25907     2397.86762     2442.16578     2476.26985     2496.40953     2504.04709     2500.51929 
Sunshot.Fl_O.gamt              2.40668        2.47424        2.53552        2.58849        2.63362        2.66998        2.69539        2.70863        2.70979 
Sunshot.Fl_O.rhot            965.19447      935.02815      906.17858      878.22998      850.69335      823.14748      794.82734      764.70628      730.70523 
TsPump.Fl_I.Tt                -6.10557  -3.94463E-001        4.74442        9.42219       13.72773       17.71105       21.42214       24.88878       28.12762 
TsPump.Fl_I.Pt                29.99977       34.99985       39.99993       45.00001       50.00008       55.00016       60.00024       65.00032       69.99970 
TsPump.Fl_I.ht           -3.12158E+005  -2.98596E+005  -2.85813E+005  -2.73546E+005  -2.61533E+005  -2.49552E+005  -2.37286E+005  -2.24320E+005  -2.09878E+005 
TsPump.Fl_I.s              -1761.15592    -1712.86958    -1668.42894    -1626.68096    -1586.55974    -1547.21118    -1507.50270    -1466.03148    -1420.25333 
TsPump.Fl_I.W             4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
TsPump.Fl_I.Cpt             2382.50165     2527.08143     2709.16220     2946.78931     3274.01104     3751.88776     4510.70111     5905.84973     9136.69169 
